langs,fruits,plants,food,vegetables,colors,animals,possession,family,occupation,places,household-items
bn_ml,0.11106511950492859,0.11156668961048126,0.1043683186173439,0.10116165441771348,0.08180960603058338,0.08089593052864075,0.10007916316390038,0.11096726854642232,0.10593319535255433,0.10808991640806198,0.11443444788455963
bn_mr,0.01895138844847679,0.10545294955372811,0.01746822763525415,0.09334242685387532,0.14711776971817017,0.12943532913923264,0.06715679606422782,0.1126642928769191,0.118461499735713,0.07091751403640956,0.07928489819169045
ta_gu,0.031687046261504294,0.07637099400162697,0.05942033603787422,0.06798833032371476,0.03321530190296471,0.053851335681974886,0.05853748396039009,0.060261546478917204,0.0865472674369812,0.07105498015880585,0.061329246941022576
ta_te,0.07187423957511782,0.03184103686362505,0.011922329291701316,0.02597714484242412,0.06951564848423004,0.074714807420969,0.04765362897887826,0.057746094884350896,0.033410105109214785,0.06903459411114454,0.02767188409343362
ta_kn,0.07988720871508122,0.07701327055692672,0.08181833140552044,0.08128885055581729,0.07162708193063735,0.09689195454120636,0.07174548357725144,0.056202065820495285,0.10343142747879028,0.07767619477817789,0.06492633037269116
ta_ml,0.1235278457403183,0.13642313629388808,0.11879979521036148,0.1160675057520469,0.12583632692694663,0.11033411473035812,0.12391222268342972,0.10842438538869222,0.11382620632648469,0.12476088292896748,0.12360979318618774
ta_mr,0.012486279383301735,0.003068240266293287,0.013381002843379975,0.028282699796060722,0.03591939173638821,0.0268686980009079,0.04814802668988705,3.308440985468527e-05,0.01456175446510315,-0.03493946566595696,0.007950304029509424
gu_te,-0.2217114359140396,-0.25089336931705475,-0.2587598830461502,-0.2004296531279882,-0.20069213956594467,-0.24620284140110016,-0.2604680359363556,-0.21148798863093057,-0.27118767201900484,-0.22459558583796024,-0.23969219624996185
gu_kn,-0.18823679089546203,-0.19042403995990753,-0.19779826700687408,-0.19563863426446915,-0.18908066153526307,-0.18529449999332429,-0.1830795794725418,-0.18778147548437119,-0.19818392992019654,-0.2014465369284153,-0.18218350559473037
gu_ml,0.024726144224405288,0.018403893895447256,0.0020389365032315253,0.01618033554404974,-0.023922044783830643,0.019194609113037588,-0.010881885606795549,0.007582695844272773,0.008957325294613839,0.02832692547235638,0.013171551749110222
gu_mr,0.03783848695456982,0.09617317207157612,0.061371099948883054,0.03354348393622786,0.10609887465834618,0.05826380923390388,0.1039640597999096,0.09975721718122561,0.05024180933833122,0.06344891246408224,0.05831655636429787
te_kn,0.08123931065201759,0.09045084789395333,0.08830834776163102,0.08674580293397109,0.09475506842136383,0.09317663162946702,0.08676880002021789,0.0881565057983001,0.09259674847126007,0.06053288537077606,0.07782510295510292
te_ml,0.1110307365655899,0.05954105108976364,0.0784369857981801,0.07329400007923444,0.07532572448253631,0.05272445194423199,0.08076370432972908,0.09107979883750279,0.05351037308573723,0.09705299697816372,0.08000322841107846
te_mr,0.0008552593179047107,0.03397479020059109,-0.016994062811136246,-0.02060994110070169,-0.05322897080332041,-0.047297075111418965,0.037776270508766176,0.2105030839641889,0.06363786961883307,0.043248844682238996,0.013351021334528923
kn_ml,-0.14080624878406525,-0.14662503600120544,-0.14298066198825837,-0.13306478038430214,-0.13509289920330048,-0.1291418194770813,-0.1366875022649765,-0.13034111633896828,-0.13699510097503662,-0.13932138588279486,-0.12785960286855697
kn_mr,0.005179228074848652,-0.04937845915555954,0.013649789523333311,0.03347453521564603,-0.08846970628947019,-0.02889781128615141,0.02200370691716671,-0.02157409240802129,-0.026238687336444855,-0.007539709564298391,0.007485726848244667
ml_mr,-0.028201670199632645,-0.004428630322217941,-0.025656914710998534,-0.009865225622585664,0.03889396721497178,-0.06395085826516152,-0.06149392500519753,-0.04711015565165629,-0.06932971179485321,-0.008057145518250763,-0.028706448152661324
